seed,step,first_reward,third1_reward,third2_reward,first_success,third1_success,third2_success
1,0,3.0584596625250984,2.8102382448533065,3.54881280735344,0.0,0.0,0.0
1,25000,3.8413154166035333,3.402490101946507,2.107247130559206,0.0,0.0,0.0
1,50000,447.859226291561,97.65474282248596,7.953452838851627,0.0,0.0,0.0
1,75000,712.9078909730389,353.1967575184042,3.2025754645072775,10.0,0.0,0.0
1,100000,737.4697133761196,380.9376934564933,22.722036050238138,40.0,0.0,0.0
1,125000,892.0022227096882,534.1708732567138,40.57577981410727,55.00000000000001,0.0,0.0
1,150000,1164.2970104193976,409.0187006920627,200.36003299155075,75.0,0.0,5.0
1,175000,1177.0558268133966,606.8496847236768,301.46523764775014,80.0,0.0,10.0
1,200000,1328.5489007136457,627.5567974673168,138.68083261235864,90.0,0.0,0.0
1,225000,1266.9989360162092,742.7973701863723,497.7264905398879,85.0,0.0,35.0
1,250000,1319.513497854607,1090.1357823584335,1002.0732159456826,90.0,65.0,65.0
1,275000,1400.1749579357065,1536.9549390273933,1202.9750134285182,95.0,100.0,85.0
1,300000,1477.8229424022852,1568.8618021826005,1124.1729717380738,100.0,100.0,80.0
1,325000,1483.683110886061,1512.771165291257,1440.6181509437358,100.0,95.0,85.0
1,350000,1395.1916807060884,1574.6409378623232,1353.6061254869296,95.0,95.0,70.0
1,375000,1531.785063717869,1573.1889641034863,1490.8023117775897,100.0,100.0,95.0
1,400000,1541.4918411871297,1609.2411519039329,1577.7739176928321,100.0,100.0,100.0
1,425000,1549.0718359638074,1588.1907746940155,1470.552243795339,100.0,100.0,95.0
1,450000,1534.1079243602253,1591.1894214959311,1588.3608139431194,100.0,100.0,100.0
1,475000,1528.2005863043448,1596.2074991590812,1598.3471951328006,90.0,100.0,100.0
1,500000,1524.3059002617817,1603.9634879900693,1569.3279073380118,100.0,100.0,100.0
2,0,1.9546692800333616,2.142102979383259,1.9858076107765708,0.0,0.0,0.0
2,25000,213.24420950225735,4.839211523266533,3.9948927494328443,0.0,0.0,0.0
2,50000,402.7111834366101,37.00638676916379,44.87903001322626,0.0,0.0,0.0
2,75000,649.854786711947,235.6940865064856,175.50974186877974,0.0,0.0,0.0
2,100000,758.6379097665874,353.1403320395565,208.18145912703284,30.0,0.0,0.0
2,125000,846.0017986979768,1037.8280859237082,215.62035999723508,35.0,85.0,0.0
2,150000,1077.6206113813491,1363.4224020390147,213.63983204474783,50.0,85.0,5.0
2,175000,1357.2224746060508,1567.6930274351057,312.66363445712994,90.0,100.0,0.0
2,200000,1396.1912869779003,1564.1781257354532,708.7998135072511,95.0,100.0,30.0
2,225000,1511.1187594805936,1596.0402753065578,560.2358059496466,100.0,100.0,20.0
2,250000,1520.318115900788,1522.3479577389699,693.0653935368857,100.0,95.0,30.0
2,275000,1503.4400395807638,1576.97846345619,689.2017410475338,100.0,95.0,30.0
2,300000,1540.9189108066198,1596.2585153724494,525.5783362777803,100.0,100.0,15.0
2,325000,1553.6994623648195,1582.1826788913922,435.39979384273727,100.0,95.0,5.0
2,350000,1450.3759506825415,1411.4168099129552,840.3317382669181,100.0,100.0,30.0
2,375000,1594.1315616192296,1615.2518578517395,646.2358751559514,100.0,100.0,15.0
2,400000,1539.4616416604922,1584.8171859544466,610.1952673165941,100.0,100.0,10.0
2,425000,1492.9610861196468,1603.857197360165,845.8079269109141,95.0,100.0,45.0
2,450000,1537.7411575667456,1604.698910608254,1241.595031113562,100.0,100.0,80.0
2,475000,1574.8153329380734,1616.2801194425065,1333.1260019359972,100.0,100.0,80.0
2,500000,1553.0971325763226,1495.1825842397966,1478.256287262292,100.0,95.0,100.0
3,0,3.882383028652535,3.3378575899875664,3.810705510865572,0.0,0.0,0.0
3,25000,346.63193216770077,68.45967310542952,36.327134820317895,5.0,0.0,0.0
3,50000,672.0466691313543,564.5892646104624,165.1757406470661,15.0,0.0,0.0
3,75000,1112.241710675886,982.2687570732629,138.82385052577706,50.0,0.0,0.0
3,100000,753.5572491510039,1498.6051698338758,155.86471755141193,35.0,85.0,0.0
3,125000,1321.7725031301854,1478.1322869607488,3.171813035708454,90.0,85.0,0.0
3,150000,1500.0987206163127,1509.7954328340124,677.1596832975032,95.0,95.0,40.0
3,175000,1429.4070983178442,1576.9592972380192,891.3476736283394,100.0,100.0,45.0
3,200000,1539.5356109896145,1569.857841193286,1370.6680426663274,100.0,100.0,70.0
3,225000,1519.9171843220777,1603.6479560119753,1489.9609276713259,100.0,100.0,100.0
3,250000,1540.2070318928195,1585.834937226776,1536.363762563186,100.0,100.0,100.0
3,275000,1535.7910873185087,1456.9696627967235,1515.2655482278042,100.0,90.0,100.0
3,300000,1557.9292802352697,1607.2123268970088,1563.8252909554583,100.0,100.0,100.0
3,325000,1560.3493139517095,1551.9473124842757,1509.6192458718897,100.0,100.0,100.0
3,350000,1542.9073279604622,1596.3012455896458,1546.9993850558199,100.0,100.0,95.0
3,375000,1537.1772185801703,1620.388986930949,1537.6143605994328,100.0,100.0,100.0
3,400000,1587.984824315135,1616.3560801206204,1577.9457421382515,100.0,100.0,100.0
3,425000,1582.823044146065,1605.484792756997,1586.818873406704,100.0,100.0,100.0
3,450000,1532.5160959875352,1617.92928723858,1556.8102347591328,95.0,100.0,100.0
3,475000,1564.1670087221705,1633.8082473192167,1586.8700321560148,100.0,100.0,100.0
3,500000,1536.6144560661437,1586.65913041702,1547.6770735216614,100.0,95.0,100.0
4,0,3.8578178310421913,3.545293444719634,3.455103607550165,0.0,0.0,0.0
4,25000,104.92289144300614,47.109458766925954,38.76223390084232,0.0,0.0,0.0
4,50000,446.05889380628685,315.0874780668304,21.5094198585114,5.0,0.0,0.0
4,75000,954.8554472368727,604.0705017305706,199.92401874000936,45.0,10.0,0.0
4,100000,763.3915420641852,792.7302036190176,700.5302682526219,35.0,20.0,10.0
4,125000,1083.110843946938,1490.9063132448682,814.7708593653248,40.0,100.0,0.0
4,150000,1151.8641675773854,1530.7458441666433,989.3391475057509,65.0,100.0,15.0
4,175000,1322.6468584146041,1542.3022046439016,1570.706348294228,85.0,100.0,100.0
4,200000,1384.9835935912174,1577.5907571043927,1479.7813586465286,90.0,100.0,90.0
4,225000,1490.671090232755,1507.619455670168,1564.503050886162,90.0,95.0,100.0
4,250000,1535.2168843628565,1584.4130770000263,1561.0830406131493,100.0,100.0,100.0
4,275000,1472.066018693459,1589.2193338156844,1551.0207732702643,95.0,95.0,100.0
4,300000,1563.3348941314837,1562.2416850659283,1581.1697279000296,100.0,100.0,100.0
4,325000,1465.5328177721979,1415.8141834316443,1482.8914056690871,95.0,90.0,95.0
4,350000,1525.5953631524842,1603.9750866616573,1581.4219278004205,100.0,100.0,100.0
4,375000,1573.5162525477247,1577.1026559053416,1583.7792569595729,100.0,95.0,100.0
4,400000,1543.265475433603,1544.953714307762,1469.0183345935513,100.0,95.0,90.0
4,425000,1553.231496477471,1591.4615142345926,1570.6886369029012,100.0,100.0,100.0
4,450000,1469.1150620311114,1623.51680687252,1567.0367919980072,100.0,100.0,100.0
4,475000,1572.3762045246772,1590.6946170430701,1478.7110703038159,100.0,95.0,95.0
4,500000,1254.5206476496544,1630.3132009838596,1591.6936550557891,85.0,100.0,100.0
5,0,4.2650699707932445,4.265232212688036,3.4989756764982047,0.0,0.0,0.0
5,25000,32.04593124733347,43.21266159213923,13.938693826251566,0.0,0.0,0.0
5,50000,322.202483176931,307.869216021683,6.997758371078629,0.0,0.0,0.0
5,75000,502.451191581223,587.4557544849549,69.57316492866205,15.0,0.0,0.0
5,100000,904.033267181713,1333.903733821447,83.72181965218331,60.0,80.0,0.0
5,125000,1352.8387782066725,1499.8349287589926,104.43193737479746,80.0,100.0,0.0
5,150000,1528.9162395355131,1489.145370713311,146.20928520921856,100.0,95.0,0.0
5,175000,1539.6100894821595,1548.8107482156252,131.55366029743135,100.0,100.0,0.0
5,200000,1512.2224259044394,1530.7468593779888,90.85811788176352,100.0,100.0,0.0
5,225000,1577.0471581401844,1467.6192686336638,74.02707590553308,100.0,85.0,0.0
5,250000,1461.5829103184647,1536.0553845404315,137.17298890246127,100.0,95.0,0.0
5,275000,1581.2638183335912,1573.803816035112,161.4521796167372,100.0,100.0,0.0
5,300000,1585.1369883034517,1587.861970766718,200.75185822268378,100.0,100.0,5.0
5,325000,1483.518788976211,1543.4448707788904,140.4799756219641,100.0,100.0,0.0
5,350000,1584.6978767292485,1497.7696585021336,309.90425312425634,100.0,95.0,5.0
5,375000,1578.6290933209789,1517.7159484248386,133.8299200606427,100.0,100.0,0.0
5,400000,1545.2988539311518,1396.1474156542718,866.1969727421019,100.0,90.0,50.0
5,425000,1507.8857793132024,1501.9616980536687,1280.031653872777,95.0,85.0,95.0
5,450000,1538.9475080662996,1363.9197116684713,1245.923544413228,100.0,95.0,60.0
5,475000,1557.4990716871894,278.07821107937326,1513.311919935194,100.0,10.0,95.0
5,500000,1592.5476583386103,1551.4610034586349,1486.5028752813075,100.0,100.0,95.0
